bridge,seed,k,epsilon,lambda,method,template_id,edge_precision,edge_recall,edge_f1,edge_tp,edge_fp,edge_fn,split_edge_f1,merge_edge_f1,overall_exact
Celer,201,2,0.05,0.5,AMOUNT_FREE_COST_D4,eth_flow_9cf93decbc9943,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,AMOUNT_FREE_COST_D4,eth_flow_a013a0082aa14f,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,AMOUNT_FREE_COST_D4,eth_flow_a112ab48d6f142,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,AMOUNT_FREE_COST_D4,eth_flow_a2cafbd77c9043,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,AMOUNT_FREE_COST_D4,eth_flow_b2cc3656da614d,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,AMOUNT_FREE_COST_D4,eth_flow_ba93e240240542,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,AMOUNT_FREE_COST_D4,eth_flow_ca749f50340146,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,AMOUNT_FREE_COST_D4,eth_flow_d0bd155efdf140,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,AMOUNT_FREE_COST_D4,eth_flow_d2927cdad4f04c,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,AMOUNT_FREE_COST_D4,eth_flow_db4ed2dde95d4d,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,AMOUNT_FREE_COST_D4,eth_flow_de516c4d8d7e4a,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,AMOUNT_FREE_COST_D4,eth_flow_e8985be1ca2849,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,AMOUNT_FREE_COST_D4,eth_flow_ebb956da9bef4c,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,AMOUNT_FREE_COST_D4,eth_flow_ec95722f06e14d,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,AMOUNT_FREE_COST_D4,eth_flow_ed88b23f895347,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,AMOUNT_FREE_COST_D4,eth_flow_fbebfc9a64c347,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,AMOUNT_FREE_COST_D4,eth_flow_ff295e5d373443,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_0094d71bf3a440,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_035394e3566b4d,0.0,0.0,0.0,0,4,6,0.0,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_03f1e81e7d004b,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_0bbd762cb8e748,0.25,0.16666666666666666,0.2,1,3,5,0.0,0.4,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_0c5308cf0dea4a,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_0d5a60b846194f,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_1534ecc431da40,0.0,0.0,0.0,0,4,6,0.0,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_1a9af0092eaf49,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_1ba155a0340241,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_1d74d4cba29342,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_2b0ec2dc12bd4f,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_2dbb41fa0cc441,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_2e77abebe5b54b,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_32d2205b65214b,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_3cbf455d620d47,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_3e33f47c06f34f,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_4630df700f1148,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_466db3c131ca41,0.5,0.3333333333333333,0.4,2,2,4,0.6666666666666666,0.0,0
Celer,201,2,0.05,0.5,CONDITIONAL_UOT_D4,eth_flow_51cf8b60f97d41,0.0,0.0,0.0,0,4,6,0.0,0.0,0
